Id;Name;TextDesc;DateOfCreation;Cost;NameOfAuthor;NicknameOfAuthor;NumberOfSales;Rating
32;Gorgeous Frozen Chips;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;788,46;Tami;Tami Hauck;772;3
33;Gorgeous Plastic Gloves;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;136,55;Tami;Tami Hauck;3094;1
34;Intelligent Cotton Fish;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;30.08.2022 16:02:31;863,91;Tami;Tami Hauck;726;5
35;Handcrafted Rubber Chips;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;30.08.2022 16:02:31;675,07;Kent;Kent Strosin;781;2
36;Handcrafted Cotton Hat;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;264,09;Kent;Kent Strosin;6278;1
37;Unbranded Plastic Keyboard;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;670,22;Kent;Kent Strosin;90;3
38;Unbranded Plastic Towels;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;222,86;Roy;Roy Prohaska;5705;5
39;Licensed Granite Towels;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;207,54;Roy;Roy Prohaska;8870;3
40;Licensed Wooden Bacon;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;985,56;Roy;Roy Prohaska;8154;1
41;Unbranded Soft Pants;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;881,80;Luther;Luther Bergnaum;9914;1
42;Unbranded Plastic Soap;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;438,27;Luther;Luther Bergnaum;2240;3
43;Awesome Concrete Gloves;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;403,12;Luther;Luther Bergnaum;2331;1
44;Rustic Plastic Soap;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;103,93;Dwight;Dwight Feil;4050;3
45;Gorgeous Plastic Pizza;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;582,20;Dwight;Dwight Feil;2599;5
46;Licensed Metal Tuna;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;569,13;Dwight;Dwight Feil;1987;4
47;Sleek Metal Shirt;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;500,76;Harvey;Harvey Olson;7028;3
48;Handcrafted Plastic Fish;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;742,39;Harvey;Harvey Olson;1583;3
49;Refined Metal Soap;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;900,60;Harvey;Harvey Olson;6934;4
50;Tasty Metal Pants;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;469,27;Abraham;Abraham Lindgren;2001;5
51;Incredible Cotton Tuna;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;216,08;Abraham;Abraham Lindgren;384;5
52;Awesome Plastic Fish;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;576,28;Abraham;Abraham Lindgren;7184;3
53;Incredible Cotton Gloves;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;30.08.2022 16:02:31;183,19;Rachael;Rachael Connelly;3118;2
54;Awesome Wooden Chicken;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;119,99;Rachael;Rachael Connelly;9334;1
55;Refined Steel Table;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;901,63;Rachael;Rachael Connelly;7092;2
56;Awesome Frozen Soap;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;210,00;Claire;Claire Harris;9149;3
57;Tasty Metal Pants;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;546,68;Claire;Claire Harris;1571;5
58;Generic Rubber Shoes;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;779,29;Claire;Claire Harris;4454;4
59;Licensed Granite Pizza;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;30.08.2022 16:02:31;402,20;Ramona;Ramona Fahey;5640;2
60;Incredible Wooden Hat;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;202,91;Ramona;Ramona Fahey;512;2
61;Ergonomic Rubber Car;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;436,81;Ramona;Ramona Fahey;9132;5
62;Handmade Granite Fish;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;312,37;Laverne;Laverne Batz;5380;3
63;Rustic Frozen Bacon;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;137,50;Laverne;Laverne Batz;5402;3
64;Ergonomic Steel Shirt;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;29,11;Laverne;Laverne Batz;8606;3
65;Rustic Fresh Shoes;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;30.08.2022 16:02:31;208,60;Lana;Lana Buckridge;690;5
66;Practical Steel Salad;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;658,37;Lana;Lana Buckridge;8718;1
67;Handmade Cotton Mouse;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;30.08.2022 16:02:31;253,84;Lana;Lana Buckridge;6475;4
68;Incredible Plastic Soap;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;30.08.2022 16:02:31;824,19;Ross;Ross Kuhlman;6957;3
69;Tasty Granite Computer;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;876,15;Ross;Ross Kuhlman;552;3
70;Practical Rubber Sausages;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;580,06;Ross;Ross Kuhlman;4196;1
71;Refined Fresh Car;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;547,86;Leon;Leon Treutel;8876;1
72;Awesome Cotton Salad;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;2,69;Leon;Leon Treutel;3849;4
73;Awesome Metal Bike;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;94,94;Leon;Leon Treutel;7463;2
74;Refined Fresh Sausages;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;647,95;Billy;Billy Lakin;2738;5
75;Licensed Steel Bike;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;569,39;Billy;Billy Lakin;6134;1
76;Awesome Metal Soap;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;971,36;Billy;Billy Lakin;6459;1
77;Licensed Fresh Table;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;889,30;Wesley;Wesley Nikolaus;5940;4
78;Gorgeous Metal Shoes;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;912,61;Wesley;Wesley Nikolaus;7080;1
79;Intelligent Metal Chair;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;34,18;Wesley;Wesley Nikolaus;8079;2
80;Tasty Soft Bike;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;816,18;June;June Mosciski;2060;5
81;Incredible Cotton Fish;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;30.08.2022 16:02:31;38,59;June;June Mosciski;5038;5
82;Sleek Granite Mouse;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;30.08.2022 16:02:31;210,78;June;June Mosciski;3605;4
83;Refined Rubber Chips;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;287,40;Jerald;Jerald Lesch;6755;5
84;Tasty Concrete Computer;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;513,99;Jerald;Jerald Lesch;6552;5
85;Rustic Metal Table;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;971,84;Jerald;Jerald Lesch;6823;3
86;Awesome Concrete Shoes;The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design;30.08.2022 16:02:31;426,09;Lucy;Lucy Zboncak;1459;5
87;Licensed Granite Keyboard;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;30.08.2022 16:02:31;423,35;Lucy;Lucy Zboncak;9328;5
88;Refined Cotton Fish;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;159,60;Lucy;Lucy Zboncak;7429;4
89;Incredible Plastic Pizza;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;783,00;Courtney;Courtney Ritchie;9172;1
90;Sleek Metal Shirt;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;30.08.2022 16:02:31;35,60;Courtney;Courtney Ritchie;619;1
91;Gorgeous Cotton Ball;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;281,06;Courtney;Courtney Ritchie;5931;3
92;Rustic Fresh Shirt;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;45,34;Gayle;Gayle Hudson;3179;4
93;Sleek Cotton Salad;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;415,30;Gayle;Gayle Hudson;8257;1
94;Unbranded Metal Sausages;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;353,76;Gayle;Gayle Hudson;1974;1
95;Tasty Cotton Soap;New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016;30.08.2022 16:02:31;264,80;Debbie;Debbie Mayer;3641;3
96;Refined Soft Ball;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;807,00;Debbie;Debbie Mayer;2219;5
97;Unbranded Rubber Fish;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;808,97;Debbie;Debbie Mayer;5918;3
98;Handcrafted Concrete Salad;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;420,31;Harriet;Harriet Weimann;7894;3
99;Licensed Granite Bacon;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;432,07;Harriet;Harriet Weimann;6037;1
100;Sleek Fresh Ball;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;44,72;Harriet;Harriet Weimann;9728;5
101;Sleek Metal Ball;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;792,37;Eva;Eva Koss;836;4
102;Handcrafted Wooden Computer;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;30.08.2022 16:02:31;651,02;Eva;Eva Koss;1337;3
103;Ergonomic Soft Chair;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;327,84;Eva;Eva Koss;4184;1
104;Generic Metal Bike;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;436,17;Lewis;Lewis Mitchell;4832;5
105;Licensed Concrete Bacon;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;336,20;Lewis;Lewis Mitchell;9951;1
106;Practical Plastic Soap;The Football Is Good For Training And Recreational Purposes;30.08.2022 16:02:31;602,14;Lewis;Lewis Mitchell;3752;5
107;Fantastic Concrete Pants;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;595,51;Johnny;Johnny Mueller;5460;1
108;Ergonomic Cotton Chicken;Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support;30.08.2022 16:02:31;166,55;Johnny;Johnny Mueller;4354;2
109;Handcrafted Plastic Gloves;The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive;30.08.2022 16:02:31;583,46;Johnny;Johnny Mueller;3188;3
110;Small Plastic Shirt;The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J;30.08.2022 16:02:31;65,18;Marie;Marie Hoeger;9307;4
111;Gorgeous Granite Shoes;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;65,94;Marie;Marie Hoeger;1682;5
112;Handmade Soft Tuna;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;748,62;Marie;Marie Hoeger;3508;5
113;Sleek Fresh Chips;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;670,92;Marty;Marty Reynolds;1291;2
114;Generic Fresh Chair;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;250,01;Marty;Marty Reynolds;106;4
115;Incredible Cotton Mouse;The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality;30.08.2022 16:02:31;778,94;Marty;Marty Reynolds;9883;1
116;Practical Wooden Cheese;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;831,63;Darren;Darren Kuhn;6745;4
117;Unbranded Fresh Tuna;The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients;30.08.2022 16:02:31;940,56;Darren;Darren Kuhn;8243;1
118;Ergonomic Metal Ball;Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals;30.08.2022 16:02:31;376,47;Darren;Darren Kuhn;6300;5
119;Rustic Fresh Towels;Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles;30.08.2022 16:02:31;581,11;Darla;Darla Corwin;4298;5
120;Practical Frozen Pants;New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart;30.08.2022 16:02:31;156,99;Darla;Darla Corwin;981;5
121;Refined Wooden Gloves;Carbonite web goalkeeper gloves are ergonomically designed to give easy fit;30.08.2022 16:02:31;643,16;Darla;Darla Corwin;5749;4
122;test add text;adding sample text;30.08.2022 16:07:05;999,00;Tami;Tami Hauck;999;5
123;test 2;adding sample text for test;30.08.2022 16:12:56;43,45;Tami;Tami Hauck;23;5
